"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology"
"14595","GO:2000297",0.133880985103864,1,3,3,"negative regulation of synapse maturation","BP"
"9351","GO:0061180",0.13388156236397,0.916279535575485,20,69,"mammary gland epithelium development","BP"
"2174","GO:0008219",0.134240266266044,0.878364755319258,397,1998,"cell death","BP"
"828","GO:0002704",0.134294505645968,0.914605661229632,21,76,"negative regulation of leukocyte mediated immunity","BP"
"6714","GO:0044087",0.134298731953817,0.882067146319365,223,1020,"regulation of cellular component biogenesis","BP"
"12498","GO:1901800",0.134452753268792,0.906382827223629,32,114,"positive regulation of proteasomal protein catabolic process","BP"
"5264","GO:0034134",0.135187456268138,0.944439993072708,8,17,"toll-like receptor 2 signaling pathway","BP"
"7474","GO:0046632",0.135367110228538,0.901540579515551,42,137,"alpha-beta T cell differentiation","BP"
"4132","GO:0030203",0.135995558340277,0.912793921438854,21,83,"glycosaminoglycan metabolic process","BP"
"11241","GO:0097396",0.136173293078302,0.945399465806209,7,17,"response to interleukin-17","BP"
"11242","GO:0097398",0.136173293078302,0.945399465806209,7,17,"cellular response to interleukin-17","BP"
"8069","GO:0050870",0.13653170717408,0.892363548276139,70,258,"positive regulation of T cell activation","BP"
"8902","GO:0060392",0.136809598282604,0.938512061135588,8,24,"negative regulation of SMAD protein signal transduction","BP"
"832","GO:0002708",0.136955917968523,0.904425335135815,30,133,"positive regulation of lymphocyte mediated immunity","BP"
"9249","GO:0060996",0.13711213763309,0.908445535609834,25,98,"dendritic spine development","BP"
"4117","GO:0030177",0.137177600049202,0.902255065576587,34,143,"positive regulation of Wnt signaling pathway","BP"
"8406","GO:0051602",0.137259338313385,0.922723629853904,14,45,"response to electrical stimulus","BP"
"3907","GO:0021782",0.1379823896547,0.901727285692076,35,131,"glial cell development","BP"
"2003","GO:0007272",0.138369738757082,0.898280155114128,42,158,"ensheathment of neurons","BP"
"2202","GO:0008366",0.138369738757082,0.898280155114128,42,158,"axon ensheathment","BP"
"3884","GO:0021747",0.139140651692701,1,3,3,"cochlear nucleus development","BP"
"4852","GO:0032727",0.139160922510599,0.932933385623642,11,24,"positive regulation of interferon-alpha production","BP"
"1927","GO:0007155",0.139276700213848,0.875434880648729,291,1522,"cell adhesion","BP"
"7973","GO:0050672",0.139337913665093,0.906875747338816,26,89,"negative regulation of lymphocyte proliferation","BP"
"860","GO:0002752",0.139764755124592,0.909577120809503,23,74,"cell surface pattern recognition receptor signaling pathway","BP"
"3569","GO:0019219",0.139828097257661,0.870336936159679,735,4006,"regulation of nucleobase-containing compound metabolic process","BP"
"3582","GO:0019243",0.140164639808116,1,3,3,"methylglyoxal catabolic process to D-lactate via S-lactoyl-glutathione","BP"
"836","GO:0002712",0.140261989191779,0.914081710184069,18,62,"regulation of B cell mediated immunity","BP"
"952","GO:0002889",0.140261989191779,0.914081710184069,18,62,"regulation of immunoglobulin mediated immune response","BP"
"5045","GO:0033079",0.140290524307284,0.948512252756646,6,14,"immature T cell proliferation","BP"
"5046","GO:0033080",0.140290524307284,0.948512252756646,6,14,"immature T cell proliferation in thymus","BP"
"7169","GO:0045925",0.140439032767882,1,3,3,"positive regulation of female receptivity","BP"
"2742","GO:0010647",0.140507687607804,0.873253713440604,348,1746,"positive regulation of cell communication","BP"
"6783","GO:0044703",0.140662400343606,0.894108630780129,46,207,"multi-organism reproductive process","BP"
"4227","GO:0030522",0.140687565442441,0.884315509894534,99,384,"intracellular receptor signaling pathway","BP"
"4332","GO:0031077",0.141216284651426,0.962622397043929,5,8,"post-embryonic camera-type eye development","BP"
"6694","GO:0043931",0.141251476462645,0.93354324865614,9,25,"ossification involved in bone maturation","BP"
"2215","GO:0008593",0.141268021413951,0.906432054122711,23,100,"regulation of Notch signaling pathway","BP"
"1939","GO:0007167",0.141517668272678,0.876503389500546,190,970,"enzyme-linked receptor protein signaling pathway","BP"
"5257","GO:0034121",0.141601924323012,0.924829948454677,12,35,"regulation of toll-like receptor signaling pathway","BP"
"4289","GO:0030888",0.141781705168292,0.909543198573637,22,67,"regulation of B cell proliferation","BP"
"5824","GO:0035989",0.141804763075883,0.970811897817339,4,6,"tendon development","BP"
"14418","GO:1990874",0.141958579104286,0.9113760756745,20,62,"vascular associated smooth muscle cell proliferation","BP"
"12974","GO:1903052",0.142128917517247,0.896912512776646,39,137,"positive regulation of proteolysis involved in protein catabolic process","BP"
"8689","GO:0060056",0.142162651286506,0.958672769505362,5,9,"mammary gland involution","BP"
"8173","GO:0051056",0.142265469289106,0.886875792314767,70,299,"regulation of small GTPase mediated signal transduction","BP"
"559","GO:0002277",0.143114678802745,1,3,3,"myeloid dendritic cell activation involved in immune response","BP"
"13629","GO:1904466",0.143389382143239,1,3,3,"positive regulation of matrix metallopeptidase secretion","BP"
"10348","GO:0071888",0.143546749990608,0.948306799462523,6,13,"macrophage apoptotic process","BP"
"13203","GO:1903573",0.143584709654782,0.913439877695392,19,49,"negative regulation of response to endoplasmic reticulum stress","BP"
"5103","GO:0033273",0.143594399932279,0.905168166679196,23,92,"response to vitamin","BP"
"3286","GO:0016032",0.143612691267114,0.882888899153353,85,403,"viral process","BP"
"4981","GO:0032945",0.143663187877562,0.903443226568251,26,91,"negative regulation of mononuclear cell proliferation","BP"
"9753","GO:0070340",0.143984889570128,1,3,3,"detection of bacterial lipopeptide","BP"
"12115","GO:1900076",0.14424182061626,0.907101557399301,22,72,"regulation of cellular response to insulin stimulus","BP"
"11378","GO:0098758",0.144889689032743,1,3,3,"response to interleukin-8","BP"
"11379","GO:0098759",0.144889689032743,1,3,3,"cellular response to interleukin-8","BP"
"464","GO:0002066",0.145096313176082,0.92772321910259,10,29,"columnar/cuboidal epithelial cell development","BP"
"8805","GO:0060263",0.14541562246779,0.938929840671778,7,19,"regulation of respiratory burst","BP"
"3572","GO:0019222",0.146364667984671,0.862893124638155,1144,6347,"regulation of metabolic process","BP"
"4065","GO:0023056",0.146366496349236,0.867775547222643,349,1747,"positive regulation of signaling","BP"
"6373","GO:0042773",0.14652103860377,0.90481696200369,20,100,"ATP synthesis coupled electron transport","BP"
"6375","GO:0042775",0.14652103860377,0.90481696200369,20,100,"mitochondrial ATP synthesis coupled electron transport","BP"
"6010","GO:0038095",0.146691288632752,0.928798640078738,10,25,"Fc-epsilon receptor signaling pathway","BP"
"8464","GO:0051716",0.147036707280663,0.8620656941105,1268,7384,"cellular response to stimulus","BP"
"1937","GO:0007165",0.147288949908053,0.862180727720192,1043,6021,"signal transduction","BP"
"12906","GO:1902931",0.14733768019159,0.945093044512612,6,14,"negative regulation of alcohol biosynthetic process","BP"
"2984","GO:0014037",0.147708737168648,0.911917673656269,17,49,"Schwann cell differentiation","BP"
"583","GO:0002312",0.147871998299122,0.898166218257797,28,106,"B cell activation involved in immune response","BP"
"2497","GO:0009653",0.148269669026674,0.863922126266306,503,2697,"anatomical structure morphogenesis","BP"
"5906","GO:0036289",0.148306690404637,0.956213638073219,5,9,"peptidyl-serine autophosphorylation","BP"
"6371","GO:0042771",0.148654567341691,0.911749141820756,17,47,"intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator","BP"
"835","GO:0002711",0.14919998424718,0.906572914620977,18,72,"positive regulation of T cell mediated immunity","BP"
"9874","GO:0070673",0.149286430557872,0.947345164197146,6,12,"response to interleukin-18","BP"
"12977","GO:1903055",0.149446038487597,0.92190321624395,12,30,"positive regulation of extracellular matrix organization","BP"
"3557","GO:0019083",0.149532953265371,0.91074033344744,16,53,"viral transcription","BP"
"7144","GO:0045880",0.149552499705183,0.920620124264199,11,37,"positive regulation of smoothened signaling pathway","BP"
"10867","GO:0090119",0.149911450011856,0.955564081078037,5,9,"vesicle-mediated cholesterol transport","BP"
"5430","GO:0034616",0.150184907197528,0.942510586136733,6,15,"response to laminar fluid shear stress","BP"
"13966","GO:1905209",0.150319698069262,0.945069426063701,6,13,"positive regulation of cardiocyte differentiation","BP"
"13261","GO:1903715",0.150615277394163,0.922873872051199,10,33,"regulation of aerobic respiration","BP"
"910","GO:0002831",0.150719505052538,0.872117432340453,130,558,"regulation of response to biotic stimulus","BP"
"353","GO:0001893",0.150890012574529,0.918859983845187,12,35,"maternal placenta development","BP"
"285","GO:0001779",0.151203208238722,0.928261571492966,9,24,"natural killer cell differentiation","BP"
"7791","GO:0048592",0.151446951133015,0.890590734005804,33,168,"eye morphogenesis","BP"
"1354","GO:0006198",0.152048613335442,0.95469438484578,5,9,"cAMP catabolic process","BP"
"8070","GO:0050871",0.152112933661063,0.897991529928027,25,86,"positive regulation of B cell activation","BP"
"5973","GO:0036507",0.152254511467929,0.936990038959923,7,17,"protein demannosylation","BP"
"5974","GO:0036508",0.152254511467929,0.936990038959923,7,17,"protein alpha-1,2-demannosylation","BP"
"620","GO:0002363",0.152268599703474,0.918329076476678,12,34,"alpha-beta T cell lineage commitment","BP"
"6296","GO:0042552",0.152301672524089,0.887334857312058,41,156,"myelination","BP"
"2312","GO:0009145",0.152743482045458,0.895825389735554,25,111,"purine nucleoside triphosphate biosynthetic process","BP"
"9827","GO:0070534",0.152902514504356,0.902868231102695,20,66,"protein K63-linked ubiquitination","BP"
"2877","GO:0010883",0.152913951995652,0.915888610617941,11,51,"regulation of lipid storage","BP"
"7138","GO:0045862",0.153008539483822,0.881190242192819,57,219,"positive regulation of proteolysis","BP"
"10988","GO:0090304",0.15314519620127,0.856956701325605,911,5042,"nucleic acid metabolic process","BP"
"4045","GO:0022603",0.153360106349234,0.866537000479673,176,830,"regulation of anatomical structure morphogenesis","BP"
"5319","GO:0034248",0.153585744868777,0.901742343817475,20,71,"regulation of amide metabolic process","BP"
"4169","GO:0030279",0.154590826315589,0.912351266079861,13,45,"negative regulation of ossification","BP"
"6639","GO:0043537",0.154634510198207,0.919489176909557,10,36,"negative regulation of blood vessel endothelial cell migration","BP"
"8022","GO:0050794",0.154755321570562,0.854859496236709,1921,11264,"regulation of cellular process","BP"
"9007","GO:0060541",0.155072939306791,0.880833039788558,50,224,"respiratory system development","BP"
"1813","GO:0006915",0.155174165219026,0.858973776383899,382,1935,"apoptotic process","BP"
"3686","GO:0019646",0.155612929282366,0.899414833803068,19,92,"aerobic electron transport chain","BP"
"8046","GO:0050847",0.155652329743213,0.946737389455217,6,11,"progesterone receptor signaling pathway","BP"
"4506","GO:0031954",0.155913203235974,0.93021621383247,8,20,"positive regulation of protein autophosphorylation","BP"
"2379","GO:0009214",0.156048960856996,0.94078359818263,6,14,"cyclic nucleotide catabolic process","BP"
"7604","GO:0048011",0.156221209427507,0.924154868482426,9,26,"neurotrophin TRK receptor signaling pathway","BP"
"10011","GO:0071216",0.15622484830318,0.875475327774074,71,256,"cellular response to biotic stimulus","BP"
"9832","GO:0070555",0.156393170181567,0.88913868232454,33,109,"response to interleukin-1","BP"
"7602","GO:0048009",0.156904368937392,0.897060314273311,20,100,"insulin-like growth factor receptor signaling pathway","BP"
"10014","GO:0071219",0.15743477547142,0.875877112875385,65,229,"cellular response to molecule of bacterial origin","BP"
"12487","GO:1901741",0.157616919674007,0.936645386472387,7,15,"positive regulation of myoblast fusion","BP"
"566","GO:0002285",0.157675382383533,0.876817402255811,58,230,"lymphocyte activation involved in immune response","BP"
"13269","GO:1903726",0.157703974766335,0.965990375364453,4,6,"negative regulation of phospholipid metabolic process","BP"
"2525","GO:0009791",0.157779441958158,0.892833464374517,26,89,"post-embryonic development","BP"
"15066","GO:2001233",0.157890293721462,0.870315947508223,88,378,"regulation of apoptotic signaling pathway","BP"
"12477","GO:1901701",0.157921819147119,0.859834383503662,231,1210,"cellular response to oxygen-containing compound","BP"
"2707","GO:0010606",0.158207895680319,0.965833309649527,4,6,"positive regulation of cytoplasmic mRNA processing body assembly","BP"
"3396","GO:0016477",0.158437418289454,0.857653224590146,290,1523,"cell migration","BP"
"829","GO:0002705",0.158551835425007,0.884416347722034,35,154,"positive regulation of leukocyte mediated immunity","BP"
"9865","GO:0070664",0.158713800441743,0.890825005003635,27,98,"negative regulation of leukocyte proliferation","BP"
"7473","GO:0046631",0.158930033298502,0.876881135666956,56,200,"alpha-beta T cell activation","BP"
"622","GO:0002366",0.159274804368276,0.871212106099614,76,316,"leukocyte activation involved in immune response","BP"
"588","GO:0002317",0.159478275683166,0.948686119234391,5,10,"plasma cell differentiation","BP"
"395","GO:0001959",0.159529395999872,0.879110713298416,48,168,"regulation of cytokine-mediated signaling pathway","BP"
"2623","GO:0010269",0.159816362847979,0.942362473630799,6,12,"response to selenium ion","BP"
"13925","GO:1905097",0.159820824059701,0.965328836967045,4,6,"regulation of guanyl-nucleotide exchange factor activity","BP"
"10349","GO:0071895",0.159975395617949,0.929917833835372,8,18,"odontoblast differentiation","BP"
"9329","GO:0061138",0.160146252335426,0.880983165588607,38,189,"morphogenesis of a branching epithelium","BP"
"5384","GO:0034405",0.161115928110675,0.912567283286601,12,34,"response to fluid shear stress","BP"
